Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
YBY,M,adult,985,98.5,NA,6.403333333,NA,408,25,5/28/21,dorsal dark,23.9,25.8,,,,
YGR,M,adult,751,75.1,274.1,12.07,NA,390.6666667,18,5/23/21,dorsal dark,17.9,25.3,,,,
YRP,M,adult,702,70.2,247.2,6.863333333,NA,NA,26.5,6/1/21,dorsal dark,24.4,22.6,,,,
YRR,M,adult,1002,100.2,706.1,7.74,NA,426,25,5/31/21,dorsal dark,22,26.6,,,,
YYP,M,adult,811,81.1,382.3,7.936666667,NA,388.5,26,5/29/21,dorsal dark,23.3,27.3,,,,
AAR,M,adult,731,73.1,300.5,7.393333333,NA,409,25,5/29/21,dorsal light,21.3,27,,,,
ABG,M,adult,933,93.3,690.4,8.89,NA,369,23,5/30/21,dorsal light,22.5,33.4,,,,
ABPu,M,adult,520,52,86.2,6.336666667,NA,353,26,5/29/21,dorsal light,22.6,27.5,,,,
ABR,M,adult,780,78,318.8,5.64,NA,410.5,25,5/28/21,dorsal light,23.8,22.3,,,,
ABW,M,adult,1014,101.4,877.1,5.075,NA,383,16,5/26/21,dorsal light,18.1,34.4,,,,
ABY,M,adult,953,95.3,603.6,7.163333333,NA,443.6666667,18,5/23/21,dorsal light,18.7,27,,,,
AGG,M,adult,611,61.1,159,6.09,NA,402.6666667,25,6/1/21,dorsal light,24.3,21.7,,,,
AGR,M,adult,693,69.3,215.5,5.493333333,NA,417.3333333,24,5/29/21,dorsal light,20.9,27.7,,,,
AGW,M,adult,876,87.6,505.4,3.36,NA,396,20.5,5/26/21,dorsal light,20.1,25.9,,,,
AGY,M,adult,792,79.2,405.3,7.453333333,NA,402,18,5/23/21,dorsal light,19.6,27,,,,
ARP,M,adult,915,91.5,652,9.346666667,NA,424,23,5/30/21,dorsal light,22.4,33.3,,,,
ARR,M,adult,912,91.2,452.4,7.503333333,NA,530,26,5/29/21,dorsal light,23.7,25.9,,,,
ARY,M,adult,971,97.1,741.7,2.53,NA,423.6666667,18,5/23/21,dorsal light,19.9,22.7,,,,
AYY,M,adult,675,67.5,204.5,2.586666667,NA,453,18,5/23/21,dorsal light,20,25.9,,,,
B1,M,adult,422,42.2,NA,4.29,NA,NA,25.5,5/29/21,dorsal light,22.3,28.6,,,,
BGP,M,adult,NA,NA,NA,6.53,NA,NA,18,5/26/21,dorsal light,16,37.5,,,,
BPP,M,adult,974,97.4,697.7,4.826666667,NA,471,18,5/23/21,dorsal light,20.1,24.7,,,,
